Course Name,Course Code,Course Description,Distribution Requirements,Breadth Requirements,Prerequisites,Corequisites,Hours
Finnish Culture 1800 to Present,FIN230H1,"FIN230H1 offers an introduction to Finnish society, history and culture from 1800 to present. The course examines the rise of Finnish nationalism in the 1800s, its main manifestations, and concentrates on the developments of its cultural, educational and social institutions, its economic structures, demographics, cultural traditions as well as the nation’s bilingual status. The focus is on contemporary themes placed in a wider societal context.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 12L/12P
Hot Reads from a Cool Country: Contemporary Finnish Literature,FIN236H1,"An introduction to contemporary Finnish literature which leads students through major developments in Finnish literature over the last 30 years with a focus on the major themes and trends of Finnish literature through selected representative works. Finnish texts will be read in translation, analyzed and discussed.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24S
The Vikings,FIN238H1,"This course examines the influence and reception of the Vikings on the Nordic countries and Europe up to the modern day, focusing on their legacy in the contemporary Nordic world in literature, film and other cultural fields.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 48L
Masterpieces of Scandinavian Literature,FIN240H1,"Introduction to the greatest authors of Scandinavian literature and their greatest works, particularly August Strindberg, Henrik Ibsen, H.C. Andersen, Knut Hamsun, Selma Lagerlof, Pär Lagerkvist, Aleksis Kivi, Sigrid Undset and Halldor Laxness, etc. These are situated in their Scandinavian context and in world literature. (Offered every two or three years)",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 12L/12S
Finnish Cinema,FIN250H1,The course offers a survey of development of Finnish cinema from its parochial beginnings to its international recognition with a focus on contemporary themes. Selected films with different themes and topics will be screened and analysed. Readings and subtitles in English. (Offered in alternate years),Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 12P/24S
Scandinavian Cinema,FIN260H1,"Major developments of cinema in Scandinavia in the 20th and 21st centuries focusing on Denmark, Sweden, and Finland. In addition to ""old classics,"" most important recent films are screened and discussed.  Film directors include Ingmar Bergman, Carl Th. Dreyer, Aki and Mika Kaurismaki, and many others. (Offered in alternate years)",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 12P/24S
Modern and Contemporary Finnish Architecture and Design,FIN270H1,Finnish architecture and design from the 19th century to the present. Explores the technical and stylistic development of modern architecture and design in relation to the cultural and socioeconomic progress of the young nation. The focus is on the work of modern architects and designers. The course also examines the history of Scandinavian design more broadly.,Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24P
Finnish Musical Culture from Sibelius to Heavy Metal,FIN280H1,"Analyzing the role of music in Finnish cultural identity, history, and society, this course explores both traditional and contemporary Finnish music, concentrating on what makes Finnish musical culture unique: Sibelius, kantele, folk music, heavy metal, rock and pop music. We will explore the themes of national and international music, the music industry, and the globalization of Finland's music.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24S
Advanced Finnish I,FIN300H1,Advanced Finnish provides a continuation of  FIN210H1 Intermediate Finnish.,Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: FIN210H1 or permission of instructor,N/A,Hours: 12P/24S
Finnish Folklore: The Kalevala,FIN310H1,"An examination of the Finnish national epic, the Kalevala: its relationship to the tradition of folk poetry; its quality as an epic poem; the mythological, religious, and cultural dimensions of its world view; its role in Finland's nation-building in the 19th and 20th centuries. Readings in English. (Offered at least every alternate year)",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 12L/12S
The Finnish Canadian Immigrant Experience,FIN320H1,"Major issues and dimensions of the culture and experience of the Finnish immigrants to Canada, including Finnish Canadian literature, theatre, and press. Conceptual and ideological contributions to working class culture, women's lives, religious and social attitudes and values. Readings in English. (Offered every three or four years)",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 12L/12S
Advanced Finnish II,FIN340H1,Advanced Finnish II provides a continuation of  FIN300H1 Advanced Finnish I.,Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: FIN300H1 or permission of instructor,N/A,Hours: 12P/24S
The Finnish Short Story,FIN350H1,"Historical, structural, and thematic study of the short fiction of Finland from the Romanticism of the 19th century to contemporary post-structuralism and post-modernism. Works of Runeberg, Topelius, Kivi, Canth, Aho, Jotuni, Lehtonen, Schildt, Sillanpaa, Haanpaa, Meri, Hyry, Salama, Mukka, Liksom, and others. Readings in English. (Offered in alternate years)",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24S
Bilingualism in Finland,FIN360H1,Bilingualism in Finland as a case study in the sociology of language. A critical survey of the historical development of language politics in Finland as a bilingual society from 1800 until present.,Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 12L/12S
Translation: Finnish-English,FIN400H1,"Written translation from Finnish to English. Students will apply their textual analysis skills in translating texts drawn from diverse sources and genres, while exploring the general theory of translation. Translation exercises will serve as the basis for training in comparative Finnish-English stylistics.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: FIN300H1 or permission of instructor,N/A,Hours: 24S
Finnish Literature in the 20th Century,FIN415H1,"This course examines the main literary works and genres of 20th Century Finland, especially Jotuni, Sillanpaa, Haanpaa, Meri, Manner, Linna, Tuuri and a sample of contemporary writers. All readings in Finnish.",N/A,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: Permission of instructor,N/A,Hours: 24S
Independent Study,FIN420Y1,"A year-long reading and research project of significant depth in a major area in Finnish language, literature or culture approved and supervised by an instructor. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,N/A,N/A,N/A,N/A
Independent Study,FIN421H1,"A semester-long reading and research project of significant depth in a major area in Finnish language, literature or culture approved and supervised by an instructor. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,N/A,N/A,N/A,N/A
Conservation of Canada's Forests,FOR200H1,Forest conservation issues in Canada; fundamentals of forest biology and ecology; forest biodiversity; development of forest management philosophy in Canadian forested regions; concepts of sustainability. Sustainable forest management strategies; forest policy and economics in a Canadian context; forest certification; protected areas.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),N/A,N/A,Hours: 24L
Conservation of Tropical and Subtropical Forests,FOR201H1,"The world's major tropical and subtropical forest biomes; prospects for conservation and sustainable management; consequences of different forest development strategies; tropical deforestation and selective logging; agroforestry; biodiversity and non-timber forest products; the fuelwood crisis; large carnivore conservation; ecological, economic and social perspectives.","Distribution Requirements: Science, Social Science",Breadth Requirements: Living Things and Their Environment (4),N/A,N/A,Hours: 24L
Forest Products in Sustainable Forestry,FOR300H1,Traditional and non-traditional forest products; wood structure; properties and material attributes; functional characteristics and logistics of wood product industry. Contribution of innovative product development to conservation; adding value; residue use; biorefinery; under-utilized species; wood protection. Forest product certification; eco-labelling; life cycle analysis.,Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,Hours: 24L/24P
Field Methods in Forest Conservation,FOR301H1,"A practical introduction to the field methods used by forest conservationists in Ontario. This field course will last 10-days from August 30 September 8 approximately. Field exercises will provide students with practical training in tree identification, forest ecosystem classification, forest inventory, stand management prescriptions, tree marking, and silvicultural systems. Each student is required to pay an ancillary fee of approximately $650 to cover the costs of their transportation and accommodation. Students must contact the Faculty to register; we strongly recommend that you do so by the end of May, but later registrations will be considered if class size permits. Not eligible for CR/NCR option.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),N/A,N/A,N/A
Societal Values and Forest Management,FOR302H1,"The course will provide diverse perspectives about societal values and forests, such as Indigenous perspective, ecosystem services and human well-being, climate change and carbon sequestration, and forest management systems, such as community-based forest management and adaptive management systems; and will develop an understanding of the need of integrative approach to address the social, cultural, economic, and scientific issues associated with forest management.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L
Human Dimensions of Global Forests,FOR303H1,"Global forest resources; relationships between societies and forests, consumption, trade and valuation of timber and non-timber products; ecosystem services, climate change and forestry, tropical deforestation and softwood lumber dispute.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L
Biology of Trees and Forests,FOR305H1,"An overview of the biology of trees and the ecological principles that govern the structure and function of forests. Topics in tree biology will include tree identification, wood anatomy, tree architecture, resource acquisition and allocation, tree growth and mortality. Topics in forest ecology will include resource competition, stand development, species succession, and the cycling of nutrients and energy. This course will include a substantial field and lab component.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),N/A,N/A,Hours: 24L/40P
Tropical Forest Ecology and Conservation Field Course,FOR306H1,"This course will provide practical experience in tropical forest conservation, introducing tools for rapid assessment of biodiversity, analysis of human use and natural disturbance impacts on forest structure and diversity, and the development of effective forest conservation strategies. See Forestry website for details. Not eligible for CR/NCR option.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: FOR201H1,  FOR301H1 or  FOR305H1",N/A,Hours: 24P
Forest Insect Ecology & Management,FOR307H1,"Insect identification and ecology, biodiversity and conservation, invasive species, insect-tree interaction, biological control, pesticide use, and integrated pest management.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),N/A,N/A,Hours: 24L/24P
Bioenergy from Sustainable Forest Management,FOR310H1,"Socio-economic, technical, political and environmental issues associated with the utilization of forest biomass (e.g., harvesting residues, thinnings, salvage, short rotation woody crops) for a source of renewable energy.",Distribution Requirements: Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L/12T
Advanced Seminar in Forest Conservation,FOR400Y1,"Examination of current and emerging critical issues affecting sustainable management and conservation of global forests. Seminars led by students, faculty and visiting speakers.","Distribution Requirements: Science, Social Science","Breadth Requirements: Living Things and Their Environment (4), Society and its Institutions (3)",Prerequisite: At least 2 of  FOR300H1/ FOR301H1/ FOR302H1/ FOR303H1/ FOR305H1/ FOR306H1/ FOR307H1/ FOR310H1,N/A,Hours: 48S
Research Paper/Thesis in Forest Conservation,FOR401H1,"Individual in-depth student research projects on significant forest conservation and forest biomaterial issues, based on field and/or laboratory research, or literature survey. Not eligible for CR/NCR option.","Distribution Requirements: Science, Social Science",N/A,Prerequisite: Completion of 15.0 credits including 1.0 credit from:  FOR300H1/ FOR301H1/ FOR302H1/ FOR303H1/ FOR305H1/ FOR306H1/ FOR307H1/ FOR310H1,N/A,N/A
Directed Readings,FOR403H1,"Provides opportunities for students to carry out individual in-depth study of current forest conservation and forest biomaterials issues, under the direction of a faculty member. Not eligible for CR/NCR option.","Distribution Requirements: Science, Social Science",N/A,Prerequisite: Completion of 15.0 credits including 1.0 credit from:  FOR300H1/ FOR301H1/ FOR302H1/ FOR303H1/ FOR305H1/ FOR306H1/ FOR307H1/ FOR310H1,N/A,Hours: 24S
Bioenergy and Biorefinery Technology,FOR410H1,"Technological advances and approaches in deriving biofuels and chemical feedstocks from forest and other biomass. Fundamental chemical attributes of biomass, as they affect the fuel value and potential for deriving liquid, solid and gaseous fuels and valuable chemicals for other applications will be discussed.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,Hours: 24L/24T
Wildlife Ecology & Conservation,FOR413H1,Temperate and tropical wildlife ecology and conservation; roles of wildlife in forest conservation; impacts of forestry practices and landscape modification on wildlife; ecology and viability of wildlife populations; human uses and abuses of game and non-game species.,Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: FOR200H1,  FOR201H1,  EEB319H1,  EEB321H1,  EEB323H1,  EEB324H1,  ENV234H1 + Completion of 15.0 credits",N/A,Hours: 24L
Green Urban Infrastructure,FOR416H1,"Trees in and around the city are key to providing multiple engineered and ecological services that only recently have been brought into the responsible fiscal planning of every municipality around the globe. Reviews the role of trees and woodlands in providing environmental, social and economic benefits to urban and peri-urban residents and to the broader environment. Examines approaches to the characterization of urban forest ecosystems, and their planning and management.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),Prerequisite: Completion of 4.0 credits,N/A,Hours: 24L
Ecological Principles of Agroforestry,FOR417H1,"The roles of trees and forests in agricultural land-use systems primarily in the third world. An examination of the biological and management aspects of agroforestry, within the socio-economic constraints of the developing world. The sustainability of particular agroforestry systems is a theme throughout.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),N/A,N/A,Hours: 24L
Urban Forest Conservation Field Camp,FOR418H1,"A ten-day field course examining urban forestry issues in the GTA, southern and eastern Ontario and Quebec. Topics include: urban forest inventories, nursery production, arboricultural techniques, urban woodland management, urban forest health, urban forest administration, urban dendrology, and urban forestry research. Additional fees for field course (e.g. accommodation, food, other within course travel expenses) will apply. See Forestry website for details. Not eligible for CR/NCR option.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: FOR200H1,  FOR201H1, or permission of the instructor.",N/A,Hours: 45L/15P
Forest Fire Behaviour and Management,FOR419H1,"Understanding forest fire activity is important for predicting fire's impact on forests and the wildland-urban interface, as well as understanding the impacts of climate change. Basic principles of forest fuel moisture exchange, fire occurrence and fire behaviour are explored. Emphasis is placed on application of these models to real fire management problems.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),"Prerequisite: One course in quantitative methods, linear algebra or calculus",N/A,Hours: 24L/24P
Green Process Chemistry,FOR420H1,"This course provides an overview of the chemistry of wood and wood materials involving cellulose, hemicellulose, lignin, extractives. It also covers some reaction chemistry associated with these chemical components.",Distribution Requirements: Science,Breadth Requirements: The Physical and Mathematical Universes (5),N/A,N/A,Hours: 24L/12T
Sustainable Materials Design and Manufacturing,FOR423H1,"This course focuses on the manufacturing processes, properties and uses of wood and agricultural fibre based products including wood based composites, ligno-cellulosic/thermoplastic composites and structural or engineered composites, and the practical use of these products in design.",Distribution Requirements: Science,Breadth Requirements: Living Things and Their Environment (4),N/A,N/A,Hours: 24L/24T
Introduction to Québec Literature and Culture,FRE210H1,"An introduction to various aspects of Québec literature and culture through the study of literary texts, cinema, and artistic productions, and their role in the evolution of a distinct Québec society. The course also familiarizes students with important socio-cultural and political events, which participated in the evolution of Québec society and provide a better understanding of Québec literature.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: FSL221Y1/ FSL222H1. Students may also fulfill this prerequisite requirement based on the results of their French Placement Test.,N/A,Hours: 24L/12T
Introduction to French Cultural and Literary Studies,FRE245H1,"This course is a practical introduction to concepts, methods and problems of literary analysis as well as an overview of French artistic culture. Using elements of comparison from fine arts, contemporary and popular culture (including novels and movies) and a variety of emblematic works of French and Francophone literatures (among others: essays by Voltaire, Montesquieu and Simone de Beauvoir; poems by Ronsard, Hugo, Baudelaire and Césaire; excerpts from novels by George Sand, Albert Camus and Patrick Chamoiseau), its objective is to provide students with a practical introduction to the tools of literary analysis, but also to help them better read, understand and appreciate literary texts.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: FSL221Y1/ FSL222H1. Students may also fulfill this prerequisite requirement based on the results of their French Placement Test.,N/A,Hours: 24L/12T
Introduction to French Literary Analysis,FRE246H1,"This course provides a general introduction to French and francophone literature of different genres and periods. Special emphasis will be placed on concepts, methods, and problems of literary analysis with the goal of helping students to improve their ability to write literary essays. Among the questions to be explored are: What are the rules and conventions of scholarly writing? How does one develop and structure arguments to ensure that a paper is well organized? How are rhetorical devices analyzed? When and how should bibliographical references be inserted?",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE245H1,  FSL224H1/  FSL225H1/  FSL320H1",N/A,Hours: 36L
The French Language: A Linguistic Introduction,FRE272H1,"A general introduction to the structure of French language, from a linguistic perspective. Students will become acquainted with the various components of the language (sound, meaning, word formation, sentence structure) through detailed description and basic analysis of Canadian and European varieties of French. Students will also be introduced to the study of French in the context of bilingualism (second language acquisition, sociolinguistics). This course is mandatory in all specialist and major programs.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: FSL221Y1/ FSL222H1. Students may also fulfill this prerequisite requirement based on the results of their French Placement Test.,N/A,Hours: 24L/12T
Introduction to the History of the French Language,FRE273H1,"A discovery of a long and fascinating history, stretching from the spoken Latin of the Gauls to the many varieties of French found today all over the world via the investigation of the social, political, and cultural causes of language change. Our focus includes topics such as medieval bilingualism, the regulation of language through the Académie française, the political use of the French language, the emergence of the Francophonie and modern Canadian French.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: FSL221Y1/ FSL222H1. Students may also fulfill this prerequisite requirement based on the results of their French Placement Test.,N/A,Hours: 24L/12T
Introduction to the Linguistic Analysis of French,FRE274H1,"An analytical study of contemporary French phonetics and phonology, morphology, syntax and semantics. This course is designed to prepare students for more advanced study of French linguistics at the 300 and 400 levels.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: FRE272H1,  FSL224H1/  FSL225H1/  FSL320H1",N/A,Hours: 24L/12T
Research Opportunity Program,FRE299Y1,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,Distribution Requirements: Humanities,N/A,N/A,N/A,N/A
Contemporary French Women's Prose Fiction,FRE304H1,"An analysis of selected prose texts of the last hundred years written by major French women authors, emphasizing themes and textual strategies used to represent the female subject, her relationship to language, and the role of ethnicity, class, and gender in the construction of identity.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
Relations between Text and Other Media,FRE310H1,"Literary texts and other forms of media (photographs, cinematographic images, paintings) have been associated in a fascinating relation in hundreds of works of French literature. An exploration of this inextricable weaving together of verbal and visual experiences as it pertains to literature through the study of interdisciplinary theoretical texts focused on photography, painting, and cinema.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
Quebec and French-Canadian Literature,FRE314H1,"This course aims to explore the literature from Quebec and other French-speaking parts of Canada. Literary texts by French Canadian authors will be analyzed, and various themes such as identity (self, others, multiculturalism, nationalism), heritage (family, tradition, culture), and representations of place and linguistic values will be studied.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
Medieval French Literature,FRE318H1,"Religious fervour, chivalry, romance and ribald humour, heroic deeds, marvellous adventures, and exotic travels as found in selected texts from the French Middle Ages. Readings in modern French translations with appropriate reference to the original language.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
Laughter and Thought in French Renaissance Literature,FRE319H1,"An overview of the fascinating literary diversity, prose, theatre and poetry essential to the changing humanistic discourse of the French Renaissance and Baroque periods. The underscoring of important historical events - Reformation, Great Discoveries, Printing - to explain the philosophical and literary values produced by such violent times.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
French Literature of Classicism and Enlightenment,FRE320H1,"An introduction to French literature between Classicism and the French Revolution with particular emphasis on its relationship to philosophical, cultural, and political movements of the Enlightenment, providing historical depth to philosophical and socio-political foundations of today's life. A privileged access to, and critique of, modernity in the postmodern age.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
French Literature in the Time of Revolutions and Industrialization,FRE324H1,"The long 19th century (1789-1914) is characterized by change: from political upheavals to literary, scientific, and media revolutions, the spread of literacy, and the rapid development of industrialization and colonization. A study of the evolution of literature (genres, forms, movements), as influenced by these changing socio-political and economic contexts.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
Contemporary French Literature,FRE326H1,"Characterized by experimentation and the crisis of representation, French literature of the 20th and 21st centuries has undergone numerous transformations in form, content, and generic boundaries. A study of these literary movements, trends, and transgressions in poetry, prose, and theatre.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
Francophone Literatures,FRE332H1,"A comprehensive introduction to Francophone literatures and cultures, examining the linguistic, aesthetic, and discursive specificities as represented by authors of the Francophone world. Focus on the concepts of colonialism, representation, alienation, emigration, and nationalism.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
Francophone Cinema,FRE334H1,"Through films from across the spectrum of the Francophone world, a study of the diversity of the French colonial empire as well as the different aesthetic, historical, and cultural effects of colonialism and post-independence experience on various cinematic representations.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
Postcolonialism: Francophone Literatures,FRE336H1,"The fundamentals of postcolonial theories, with emphasis on how they relate to the Francophone world. The dialogue between fiction and theory, as well as the modalities of a coherent Francophone postcolonial identity in a global world.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
Literary Genres,FRE345H1,"Survey of the main literary genres and analysis of their features, with in-depth study of two of the genres: narrative (epic poem, novel, short narrative), lyric poetry, drama (tragedy, comedy, farce, mystery play), essay. Readings of selected texts, chosen for their representative potential and their historical relevance.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1",N/A,Hours: 24L
French Phonology and Phonetics,FRE376H1,A study of the phonological and phonetic systems of modern French based on actual samples of speech taken from different regional varieties and socio-economic groups.,Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)","Prerequisite: FRE272H1,  FRE274H1",N/A,Hours: 24L
French Syntax,FRE378H1,"A study of the distribution and relationships of the syntagmatic components of contemporary French; of sentential structure, including the principles of coordination, subordination and expansion; and of major theoretical approaches.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: FRE272H1 +  FRE274H1,N/A,Hours: 24L
Sociolinguistics of French,FRE379H1,"The relationship between language use and social factors such as socio-economic status, social context and gender of speaker. Theoretical notions are derived through the analysis of specific data, focusing on Canadian French and other varieties spoken in the Americas.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),Prerequisite: FRE272H1 +  FRE383H1,N/A,Hours: 36L
Quantitative Methods for the Study of French,FRE383H1,An introduction to the foundations of quantitative research on French. Topics include differences between quantitative and qualitative analyses; hypothesis formulation; experimental design; and data collection and analysis including basic statistical methods. Phenomena investigated come from Canadian and European varieties as well as studies of second language learners.,Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),Prerequisite: FRE272H1,N/A,Hours: 24L/12T
Teaching French as a Second Language,FRE384H1,"This course is designed for students who aim for a career in teaching French as a second language. It introduces recent methods and approaches and increases student understanding of pedagogical issues and curriculum expectations with a consideration of learning styles, lesson design and methods of evaluation. The course includes an experiential learning component in partnership with local school boards and private schools.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE272H1,  FSL226H1/  JFG388H1,  FSL322H1/  FSL321Y1",N/A,Hours: 24L
French Semantics,FRE386H1,Various approaches to the notion of meaning; its functioning at all levels of representation.,Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: FRE274H1,N/A,Hours: 24L
French Morphology,FRE387H1,"A study of the morphological system of modern French, its relationship to syntax and phonology; theoretical notions derived from the analysis of specific data.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: FRE272H1 +  FRE274H1,N/A,Hours: 24L
Research Excursions,FRE398H0,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,Distribution Requirements: Humanities,N/A,N/A,N/A,N/A
Research Excursions,FRE398Y0,An instructor-supervised group project in an off-campus setting. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,Distribution Requirements: Humanities,N/A,N/A,N/A,N/A
Research Opportunity Program,FRE399Y1,Credit course for supervised participation in faculty research project. Details at https://www.artsci.utoronto.ca/current/academics/research-opportunities…. Not eligible for CR/NCR option.,N/A,N/A,N/A,N/A,N/A
Advanced Topics in Quebec Literature:,FRE410H1,"An advanced interdisciplinary research seminar devoted to specific issues of Québécois literature and culture. Focus on a literary genre, a particular subject matter, a literary movement, or based on a multidisciplinary approach to cinema, arts, and music. For more information, see https://www.french.utoronto.ca/undergraduate",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1,  FRE345H1",N/A,Hours: 24S
Advanced Topics in Francophone Literatures,FRE438H1,"An advanced seminar dedicated to specific issues of the Francophone literature and culture. Focusing on an author, a literary genre, or based on a multidisciplinary approach involving cinema, arts and music, each seminar reflects the professor’s current research. For more information, see https://www.french.utoronto.ca/undergraduate",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1,  FRE345H1",N/A,Hours: 24S
Advanced Topics in French Literature,FRE441H1,"An advanced, research-oriented seminar devoted to specific issues of French literature and culture. Focus on a literary genre, a particular subject or literary movement, or based on a multidisciplinary approach involving cinema, arts, and music. For more information, see https://www.french.utoronto.ca/undergraduate",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1,  FRE345H1",N/A,Hours: 24S
Advanced Topics: Authors,FRE443H1,"An advanced, research-oriented seminar devoted to questions concerning the authors practice, originality, and oeuvre. Production, performance and prominence, characteristic genres, religious and philosophical thought, theoretical reflection on literature, language, and belonging as aspects of the analysis of one single authors body of writing. For more information, see https://www.french.utoronto.ca/undergraduate",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1,  FRE345H1",N/A,Hours: 24S
Advanced Studies in Literary Theory,FRE446H1,"An advanced, research-oriented course devoted to specific issues in French literary theory. Focus on particular theoretical concepts, paradigms, schools, trends, movements or major thinkers. For more information, see https://www.french.utoronto.ca/undergraduate",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),"Prerequisite: FRE240H1/ FRE245H1,  FRE241H1/ FRE246H1,  FRE345H1",N/A,Hours: 24S
Medieval French Language,FRE471H1,"This course aims to ensure an understanding of Old French, to read most of the medieval texts. From a selection of texts, it explores the form of the language in various centuries and regions and provide a basis for understanding the history of the French language. This course is also listed in the offerings of the Graduate department of French.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: FRE272H1/ FRE273H1,N/A,Hours: 12T/24S
